1630629373300000000,-0.00643,0.08555,0.03231,0.66197,-0.56495,-0.49252,-0.00791,-0.09796,0.13637,0.03454,
1630629378368000000,-0.09489,0.00275,0.03521,0.85509,-0.06233,-0.51452,-0.01445,-0.01772,-0.04079,-0.01160,
1630629378499000064,-0.15102,0.02852,0.03401,0.85704,-0.05207,-0.51262,0.00118,-0.05591,-0.05865,-0.00579,
1630629378630000128,-0.15819,0.04085,0.02630,0.85987,-0.05400,-0.50752,0.01142,-0.00416,-0.07459,-0.01109,
1630629378765000192,-0.12627,0.04512,0.01361,0.86031,-0.02684,-0.50660,0.04996,0.03064,-0.04215,-0.00745,
1630629378900999936,-0.11960,0.05147,0.01102,0.85788,0.00640,-0.50626,0.08777,0.00976,-0.02144,-0.00201,
1630629379032999936,-0.12751,0.04459,0.00684,0.84887,0.02653,-0.51579,0.11256,-0.01328,-0.03469,-0.01947,
1630629379165999872,-0.13172,0.02326,0.00464,0.83834,0.03756,-0.52815,0.12974,-0.01987,-0.06048,-0.01368,
1630629379296999936,-0.12386,0.02399,0.00117,0.82509,0.03607,-0.54646,0.13895,-0.01204,-0.05000,0.01031,
1630629379431000064,-0.12005,0.02046,0.00254,0.81116,0.03477,-0.56457,0.14858,0.00470,-0.03526,0.01550,
1630629379564000000,-0.12153,0.01849,0.00531,0.79765,0.03583,-0.58070,0.15894,0.01842,-0.00881,0.01097,
1630629379696000000,-0.13208,0.01945,0.01205,0.78944,0.04477,-0.58890,0.16723,0.03632,0.00284,0.01376,
1630629379829999872,-0.12894,0.02217,0.01205,0.78034,0.06445,-0.59581,0.17868,0.03262,0.00728,-0.00996,
1630629379961999872,-0.13277,0.01944,0.01535,0.77136,0.07516,-0.60471,0.18351,0.02226,-0.01007,-0.01008,
1630629380096999936,-0.13020,0.01268,0.01354,0.76207,0.08426,-0.61433,0.18641,0.02077,-0.01632,-0.00337,
1630629380231000064,-0.12460,0.00826,0.01106,0.75600,0.09070,-0.61997,0.18940,0.02488,-0.02756,-0.00235,
